Station,Month,Monthly_Avg_C,Monthly_Min_C,Monthly_Max_C
6,3,308.6573403831666,216.069560586,504.03367763599994
6,4,241.19200839970003,176.603342644,321.01471412999996
6,5,145.55642774003334,117.84002616000001,187.752767125
6,6,113.00523187019665,87.79950260550001,142.17774774999998
6,7,74.99151559017668,64.3110171345,88.1111515207
6,8,56.24189206718999,49.093871549,63.4334679594
6,9,56.175041716939994,50.245825939999996,71.0561623095
6,10,111.454251284,65.15317340099999,206.1974446
6,11,230.5190683419,105.70240824000001,444.827450795
6,12,216.24832308382855,124.48086487199998,352.95680432
7,1,356.03947152733326,237.01001531999998,506.76950581000006
7,2,359.817214363,255.78860497,547.2767762
7,3,445.58763961233325,305.16072138000004,731.9836822400001
7,4,364.42811325166673,263.77932755999996,481.52552142
7,5,211.37323381033332,167.45755256,277.96648662
7,6,157.3258624436,120.56556286000001,200.77163854
7,7,102.89553894122666,89.04821627099999,120.68033136799998
7,8,79.21291234581668,70.05626445380001,87.8370497788
7,9,83.24254686391333,73.5188288735,106.948715867
7,10,174.32247719287997,99.45868557740002,311.187384688
7,11,347.40319163596666,154.56713758200002,635.82466532
7,12,271.14607179011426,151.6393332,483.625148776
8,1,6379.102290817,4645.7452206,8654.100776100002
8,2,5392.352709869668,4012.6405385699995,7880.571134399999
8,3,7029.9686014926665,5043.69549508,11164.3095182
8,4,6408.969281938,4774.33701514,8260.6791616
8,5,3755.5868423100005,3034.8864134,4816.7448454
8,6,2629.9834978366666,2022.369034,3306.9365125
8,7,1811.24492586,1564.5864894000001,2118.8430032
8,8,1460.0245827100002,1284.9652959,1596.8355935000002
8,9,1460.7296822933333,1311.842646,1849.2371528
8,10,2660.828450442333,1609.0323215,4939.8551003
8,11,5513.199399263333,2807.9684534000003,10038.992683999999
8,12,7190.6721578854285,4855.1610845000005,11022.275040000002
9,1,6379.102290817,4645.7452206,8654.100776100002
9,2,5392.352709869668,4012.6405385699995,7880.571134399999
9,3,7029.9686014926665,5043.69549508,11164.3095182
9,4,6408.969281938,4774.33701514,8260.6791616
9,5,3755.5868423100005,3034.8864134,4816.7448454
9,6,2629.9834978366666,2022.369034,3306.9365125
9,7,1811.24492586,1564.5864894000001,2118.8430032
9,8,1460.0245827100002,1284.9652959,1596.8355935000002
9,9,1460.7296822933333,1311.842646,1849.2371528
9,10,2660.828450442333,1609.0323215,4939.8551003
9,11,5513.199399263333,2807.9684534000003,10038.992683999999
9,12,7190.6721578854285,4855.1610845000005,11022.275040000002
10,1,158.58352146033332,129.05236197,194.612469856
10,2,152.05503883513336,89.72117700000001,252.64035024
10,3,120.52930720629999,82.665787008,185.89046830200002
10,4,89.95235924210002,69.741557874,119.587202644
10,5,123.06283320870001,113.456634105,141.598451558
10,6,155.03663762383337,121.21599671999999,166.47535655099998
10,7,153.16379016673338,145.97206153599998,162.341801352
10,8,153.04048992449003,143.891602288,162.96891137999998
10,9,161.93371249422003,152.5426526759,185.35330238
10,10,197.07419023023337,161.24390485,277.2380965
10,11,206.57779143833338,132.51410856,334.84859304
10,12,983.7535441225715,66.08500511999999,6226.174047500001
11,1,268.27522939133337,178.7304138,381.87975921
11,2,270.92850282399996,192.6029865,412.083975
11,3,335.554332026,229.65243417999997,551.32608748
11,4,274.60655103966667,198.89293858,362.64228908
11,5,159.22239267566664,126.02766682999999,209.45042272
11,6,118.47129042786668,90.68610304,151.28118702
11,7,74.16282244157333,64.0172257718,88.29313616799999
11,8,59.49890115424666,52.8428825547,65.8092701916
11,9,63.45743881144333,55.550981730000004,81.6140360225
11,10,135.19146351585667,75.9223354136,240.96974587900002
11,11,328.5593234810333,149.41234035000002,614.500505112
11,12,261.86404030302856,146.4316158,467.498782602
12,1,492.09318190320005,359.69640277999997,658.46646354
12,2,397.8735505085,253.47510684299996,676.912752126
12,3,357.5835320180999,239.81346289200002,557.3402466299999
12,4,273.35834290503334,199.19219683,367.507139337
12,5,214.38751867736667,181.57024555799998,264.73370329
12,6,170.27750148986667,154.212196242,200.52623294
12,7,176.16435662756666,153.908799742,188.699864068
12,8,164.29785911689999,156.123580425,177.12922416
12,9,185.94259585133332,167.60796864,227.75966742
12,10,237.62883782999998,174.08321550000002,380.973
12,11,333.77104711033337,202.83998390000002,568.21011715
12,12,2667.902228553143,237.81081593999997,11015.586523900001
13,1,318.0336826186,203.37455046300002,449.7933334
13,2,283.1490941745333,181.797613488,486.74094368000004
13,3,264.81658105663337,175.6984405,418.93639373999997
13,4,196.87976831920005,142.66938996000002,268.94470024500004
13,5,152.1681751408333,128.134888672,188.088621646
13,6,118.53559797076669,106.744951236,139.00169918999998
13,7,121.06520376826666,106.558336932,129.52725816
13,8,112.60149993478332,107.3528637433,119.16179345999998
13,9,122.09423991949333,113.197264792,142.285636407
13,10,143.85661903066668,112.05257847,220.21858657800001
13,11,192.5876740841333,113.23603497799999,336.227554994
13,12,1621.763435977657,136.47393909000002,6993.2561716499995
14,1,538.6648407393334,402.19573076000006,712.2235885700001
14,2,430.9253492776333,274.256637547,730.691323362
14,3,384.9804245210999,258.90652796800003,598.314797856
14,4,295.7359643443333,216.15626646,396.52990124999997
14,5,233.2947557783333,198.3425996,287.22851619
14,6,186.7491750436667,169.62892818,219.365931
14,7,194.31141509199998,169.37842193999998,208.0152991
14,8,181.71297160066663,172.7493724,196.32478574
14,9,207.59090939100005,185.98284843,255.7613853
14,10,266.70456811900004,195.75923895999998,421.60180268000005
14,11,371.5433443889999,228.68027447999998,625.61208345
14,12,2917.623094266,264.29879520000003,11966.7740645
15,1,365.62498104866677,238.91546183999998,514.85142306
15,2,320.1328107356666,204.9698376,549.69020106
15,3,296.8039412972,196.819412194,466.98114521
15,4,221.05827154676666,159.27636827,300.709737054
15,5,169.80733217489998,142.617420736,210.647382328
15,6,131.92699967773333,118.82284638700001,155.069714592
15,7,134.6306674261,118.51718151000001,144.14344801599998
15,8,125.24610676413334,119.3952849,132.92403572
15,9,136.40656988743333,125.81877976199999,160.876762735
15,10,163.74930220573333,124.96421137499999,261.535205783
15,11,223.37535062576663,130.278753432,384.81708235
15,12,1882.2624745457138,160.9606768,8117.053949759999
16,1,449.37770608833324,299.18132188000004,639.76139794
16,2,454.14115057466665,322.79302496,690.6785874
16,3,562.3946571803334,385.1291388,923.9327406900001
16,4,459.9599194559999,332.98396287,607.68478252
16,5,266.72250865899997,211.06872189,350.79272234999996
16,6,198.56903804833334,152.10687030000003,253.48424181999997
16,7,129.86083551573,112.386367971,152.26695071999998
16,8,99.96746535819001,88.36324994750001,110.8652731839
16,9,105.05803807025669,92.797028775,134.99170114749998
16,10,219.9960436962233,125.5480758342,392.73591933
16,11,438.42001104733333,195.038668048,802.49456316
16,12,342.2085124078571,191.39470012,610.29532038
17,1,134.55717502119998,86.488036796,190.12860587
17,2,119.25080577036667,76.50164721,204.8800767
17,3,111.28078421429998,73.844061984,175.86188796000002
17,4,82.75329558627666,59.866642905599996,112.93848412000003
17,5,63.85308024261,53.7324406729,79.0234674684
17,6,49.707436124186664,44.782542571200004,58.3266891193
17,7,50.756473257596674,44.6706531088,54.3083118766
17,8,47.2166592591,45.0194688542,50.028768590800006
17,9,51.24257739710666,47.44099827920001,59.8770265119
17,10,60.67921094884,47.0412180024,93.86159678279999
17,11,81.70205804810001,47.87673504199999,142.769060658
17,12,688.032516631,58.15483478,2965.12357075
18,1,273.0526768844,189.859062048,377.581940508
18,2,267.3718993450667,195.478189102,398.33500075
18,3,310.8082604570001,220.43597340999997,489.08430300000003
18,4,263.118133219,199.87355416,335.81191936
18,5,158.57904813222666,129.8474952828,202.1026455
18,6,114.68243886036667,89.30422183169999,143.41757476
18,7,74.76307031237002,65.0198504808,87.50521069919999
18,8,59.47297425551,52.571169382,66.2860960828
18,9,62.459505516673325,54.7336792881,78.9417105372
18,10,136.21065495305336,74.54668809539999,233.35635522
18,11,264.8246006716467,132.1682896248,445.93892217200005
18,12,228.819110607,139.436025069,348.66844985700004
19,1,127.23473358890001,103.56074785599999,156.026266165
19,2,122.01186729070001,72.00381988800001,202.579614445
19,3,96.70256398190001,66.35818742699999,149.154869458
19,4,72.19758263090002,56.00707545600001,95.963955714
19,5,98.94693507550002,91.13554168,113.73546356800001
19,6,124.90409162891663,97.573976955,134.042727265
19,7,122.99258178566335,117.15663350999999,130.3971676896
19,8,122.79391937784335,115.47841873880002,130.7139097274
19,9,129.92047928923,122.3745849371,148.7043238199
19,10,158.12420963917666,129.408235768,222.42613400000002
19,11,165.71983198233335,106.31092416,268.33627372
19,12,789.0198892945714,53.07624326,4988.4784956
20,1,255.1334333924,186.60190353,341.52147774
20,2,206.3249734808,131.47695923999999,350.98432898
20,3,185.44333393230002,124.38275571,289.01358588
20,4,141.7520929406667,103.23732636,190.57510022899996
20,5,111.16723525435333,94.1532714036,137.27289148
20,6,88.28760624217999,79.9310137017,103.9383444
20,7,91.34203428671336,79.8287059011,97.81844149760002
20,8,85.17790208945334,80.9630222544,91.841180788
20,9,96.38625883410002,86.89570520800001,118.05482509000001
20,10,123.1770235332,90.27713189100001,197.54642247
20,11,173.0039866549333,105.10453484400001,294.64300920000005
20,12,1383.268986102,123.26081280000001,5713.5636433
21,1,2625.0917342200005,2187.4286055000002,3507.8826797999996
21,2,2295.170236026333,1766.6209348199998,3028.2263395799996
21,3,2176.478853031333,1676.62853823,3035.22327063
21,4,2131.213067219,1767.89088431,2331.42609112
21,5,2110.8771440037663,1838.308079608,2408.69206368
21,6,1604.3410856050336,1249.1489272019999,1831.2311616000002
21,7,1201.4699903903,1090.1500970719999,1254.4978326620003
21,8,1226.9435556745668,1025.8617122879998,1423.410035619
21,9,977.1840833574001,836.34560475,1186.766738048
21,10,1477.8952704932667,1016.95204091,1899.0788642599998
21,11,2223.276504128667,1426.4191774,3189.5390969999994
21,12,2885.234424057143,2238.8522079,4076.8884817999997
22,1,2625.0917342200005,2187.4286055000002,3507.8826797999996
22,2,2295.170236026333,1766.6209348199998,3028.2263395799996
22,3,2176.478853031333,1676.62853823,3035.22327063
22,4,2131.213067219,1767.89088431,2331.42609112
22,5,2110.8771440037663,1838.308079608,2408.69206368
22,6,1604.3410856050336,1249.1489272019999,1831.2311616000002
22,7,1201.4699903903,1090.1500970719999,1254.4978326620003
22,8,1226.9435556745668,1025.8617122879998,1423.410035619
22,9,977.1840833574001,836.34560475,1186.766738048
22,10,1477.8952704932667,1016.95204091,1899.0788642599998
22,11,2223.276504128667,1426.4191774,3189.5390969999994
22,12,2885.234424057143,2238.8522079,4076.8884817999997
23,1,582.6672879064333,407.481106711,769.05071824
23,2,516.1658448317,391.18462872000003,868.3907306399999
23,3,613.2809524396666,422.2226412,949.2107218
23,4,414.36638395000006,306.08430250000004,554.75628039
23,5,280.51921080466667,237.43057554,344.28580956
23,6,241.48090191850002,220.16287354800002,283.72844354399996
23,7,226.04305933949996,215.988931053,238.253564703
23,8,217.0232690621667,209.408180182,231.89764549600002
23,9,246.72369452446668,224.3288516,295.40607668
23,10,325.7756003801,258.663382066,488.31311592
23,11,419.23699225993334,273.287397639,676.6120622299999
23,12,3506.214542706086,327.975936778,12538.796675759999
24,1,1770.24357183,1329.8876023999999,2332.3671129
24,2,1412.036770763,898.63430525,2392.1330147
24,3,1259.3018245176668,847.8977262300001,1955.4756719700001
24,4,968.9313928433334,708.92074864,1297.6862535
24,5,765.9838225206669,652.4686392,942.9167781
24,6,614.7102877169999,558.78013938,721.3179337
24,7,640.6924922110001,558.0673748400001,685.6643669
24,8,599.8134654769999,570.01775336,648.89511924
24,9,687.1079123056667,615.1913684599999,845.62726056
24,10,883.7168122103335,649.35019008,1390.12553075
24,11,1227.4329525983335,757.92582336,2053.0568626
24,12,9585.578903137142,872.2160360999999,39220.319325000004
25,1,964.866396671,642.64447396,1372.45284
25,2,975.0657928473333,693.5084907,1483.6985006999998
25,3,1207.3553081676666,826.661472,1982.5992144699999
25,4,988.0087055096668,715.75492744,1304.40076848
25,5,573.0214653933332,453.68393202000004,753.64144578
25,6,426.61975260366665,326.84870988,544.49843424
25,7,272.03804675013333,235.25444901400002,320.21566177000005
25,8,217.23978344436668,192.76519642999997,240.11277392000002
25,9,227.1339412287667,200.37622701499998,291.50234982
25,10,479.13202822359995,271.297114968,854.251179496
25,11,945.3015570088332,420.57974809199993,1726.178923401
25,12,734.6140375799429,410.85925885000006,1313.508776195
26,1,17236.780320816662,14158.070922599998,23182.2453585
26,2,17560.09257716333,13978.632420999998,23179.269292499997
26,3,19793.131692356666,14768.909264000002,27741.1753456
26,4,16400.24561668,14176.750584399999,18178.154400000003
26,5,12663.965949999996,10089.1967946,16329.576234
26,6,8188.906218779999,5938.348403399999,9836.0402526
26,7,5579.422075876666,5082.9845723,5883.860606
26,8,5736.580439719666,4800.04714959,6668.179815199999
26,9,4750.902746974668,4421.66316296,5598.059321000001
